SMILES,pIC50,FP
Br.CC(Nc1ncnc2[nH]c(-c3ccc(O)cc3)cc12)c1ccc(C(F)(F)F)cc1,5.34,[0 1 0 ... 0 0 0]
Br.CC(Nc1ncnc2[nH]c(-c3ccc(O)cc3)cc12)c1cccc2ccccc12,6.0,[0 1 0 ... 0 0 0]
Br.CC[C@@H](Nc1ncnc2[nH]c(-c3ccc(O)cc3)cc12)c1ccccc1,8.4,[0 1 0 ... 0 0 0]
Br.C[C@@H](Nc1ncnc2[nH]c(-c3ccc(O)cc3)cc12)c1ccc(Br)cc1,7.21,[0 1 0 ... 0 0 0]
Br.C[C@@H](Nc1ncnc2[nH]c(-c3ccc(O)cc3)cc12)c1ccc(F)cc1,8.42,[0 1 0 ... 0 0 0]
Br.C[C@@H](Nc1ncnc2[nH]c(-c3ccc(O)cc3)cc12)c1cccc(F)c1,8.05,[0 1 0 ... 0 0 0]
Br.C[C@@H](Nc1ncnc2[nH]c(-c3ccc(O)cc3)cc12)c1ccccc1,8.43,[0 1 0 ... 0 0 0]
Br.C[C@@H](Nc1ncnc2[nH]c(-c3ccc(O)cc3)cc12)c1ccccc1F,8.1,[0 1 0 ... 0 0 0]
Br.Cc1ccc([C@@H](C)Nc2ncnc3[nH]c(-c4ccc(O)cc4)cc23)cc1,6.35,[0 1 0 ... 0 0 0]
Br.Cc1cccc(C(C)Nc2ncnc3[nH]c(-c4ccc(O)cc4)cc23)c1,7.02,[0 1 0 ... 0 0 0]
Br.Cc1ccccc1C(C)Nc1ncnc2[nH]c(-c3ccc(O)cc3)cc12,7.77,[0 1 0 ... 0 0 0]
Br.Oc1ccc(-c2cc3c(NCc4ccc(F)cc4)ncnc3[nH]2)cc1,7.58,[0 0 0 ... 0 0 0]
Br.Oc1ccc(-c2cc3c(NCc4cccc(F)c4)ncnc3[nH]2)cc1,7.28,[0 0 0 ... 0 0 0]
Br.Oc1ccc(-c2cc3c(NCc4ccccc4)ncnc3[nH]2)cc1,8.48,[0 0 0 ... 0 0 0]
Br.Oc1ccc(-c2cc3c(NCc4ccccc4F)ncnc3[nH]2)cc1,7.35,[0 0 0 ... 0 0 0]
Brc1cc2c(NCc3ccccc3)ncnc2s1,6.62,[0 0 0 ... 0 0 0]
Brc1cc2c(NCc3ccccn3)ncnc2s1,5.1,[0 0 0 ... 0 0 0]
Brc1cc2c(NCc3cccs3)ncnc2s1,5.86,[0 0 0 ... 0 0 0]
Brc1cc2c(NCc3ccncc3)ncnc2s1,5.41,[0 0 0 ... 0 0 0]
Brc1cc2c(Nc3ccccc3)ncnc2s1,7.1,[0 0 0 ... 0 0 0]
Brc1ccc(C2=NN(c3ccccc3)C(c3ccc4ccccc4c3)C2)cc1,6.15,[0 0 0 ... 0 0 0]
Brc1ccc(C2=NN(c3ccccc3)C(c3cccc4ccccc34)C2)cc1,6.31,[0 0 0 ... 0 0 0]
Brc1ccc(C2=NN(c3nc(-c4ccccc4)cs3)C(c3ccc(Br)cc3)C2)cc1,5.05,[0 0 0 ... 0 0 0]
Brc1ccc(CNc2ccc3ncnc(Nc4cccc(Br)c4)c3c2)cc1,5.5,[0 0 0 ... 0 0 0]
Brc1ccc2c(c1)CNc1c(NCc3ccccc3)ncnc1O2,4.869999999999999,[0 0 0 ... 0 0 0]
Brc1ccc2c(c1)CNc1c(Nc3ccccc3)ncnc1O2,5.0,[0 0 0 ... 0 0 0]
Brc1cccc(Nc2[nH]cnc3c4ccccc4nc2-3)c1.Cl,7.085,[0 0 0 ... 0 0 0]
Brc1cccc(Nc2[nH]cnc3nc4ccccc4c2-3)c1,7.51,[0 0 0 ... 0 0 0]
Brc1cccc(Nc2ccnc3ccccc23)c1,5.26,[0 0 0 ... 0 0 0]
Brc1cccc(Nc2ncnc3[nH]c4c(c23)CCCC4)c1,6.87,[0 0 0 ... 0 0 0]
Brc1cccc(Nc2ncnc3[nH]ccc23)c1,8.43,[0 0 0 ... 0 0 0]
Brc1cccc(Nc2ncnc3c2NCc2cc(Br)ccc2O3)c1,5.57,[0 0 0 ... 0 0 0]
Brc1cccc(Nc2ncnc3c2NCc2ccccc2O3)c1,5.279999999999999,[0 0 0 ... 0 0 0]
Brc1cccc(Nc2ncnc3c2[nH]c2ccccc23)c1,7.14,[0 0 0 ... 0 0 0]
Brc1cccc(Nc2ncnc3c2ccc2[nH]cnc23)c1,6.57,[0 0 0 ... 0 0 0]
Brc1cccc(Nc2ncnc3c2oc2ccccc23)c1,6.13,[0 0 0 ... 0 0 0]
Brc1cccc(Nc2ncnc3c2sc2ccccc23)c1,7.755,[0 0 0 ... 0 0 0]
Brc1cccc(Nc2ncnc3c2sc2ncccc23)c1,6.13,[0 0 0 ... 0 0 0]
Brc1cccc(Nc2ncnc3c2sc2ncsc23)c1.CO,7.4,[0 0 0 ... 0 0 0]
Brc1cccc(Nc2ncnc3cc(NCCCCN4CCOCC4)ncc23)c1,8.27,[0 0 0 ... 0 0 0]
Brc1cccc(Nc2ncnc3cc(NCCCN4CCOCC4)ncc23)c1,8.72,[0 0 0 ... 0 0 0]
Brc1cccc(Nc2ncnc3cc(NCCCn4ccnc4)ncc23)c1,9.29,[0 0 0 ... 0 0 0]
Brc1cccc(Nc2ncnc3cc(NCCN4CCOCC4)ncc23)c1,8.49,[0 0 0 ... 0 0 0]
Brc1cccc(Nc2ncnc3cc(NCCc4c[nH]cn4)ncc23)c1,9.04,[0 0 0 ... 0 0 0]
Brc1cccc(Nc2ncnc3cc(OCCCN4CCOCC4)c4c(c23)OCCO4)c1,7.73,[0 0 0 ... 0 0 0]
Brc1cccc(Nc2ncnc3cc4[nH]cc(CN5CCOCC5)c4cc23)c1,8.02,[0 0 0 ... 0 0 0]
Brc1cccc(Nc2ncnc3cc4[nH]ccc4cc23)c1,9.36,[0 0 0 ... 0 0 0]
Brc1cccc(Nc2ncnc3cc4[nH]ncc4cc23)c1,9.36,[0 0 0 ... 0 0 0]
Brc1cccc(Nc2ncnc3cc4[nH]nnc4cc23)c1,8.39,[0 0 0 ... 0 0 0]
Brc1cccc(Nc2ncnc3cc4c(cc23)CN4)c1,9.36,[0 0 0 ... 0 0 0]
Brc1cccc(Nc2ncnc3cc4c(cc23)OCCCO4)c1,7.07,[0 0 0 ... 0 0 0]
Brc1cccc(Nc2ncnc3cc4c(cc23)OCCCSCCCO4)c1,8.1,[0 0 0 ... 0 0 0]
Brc1cccc(Nc2ncnc3cc4c(cc23)OCCO4)c1,7.84,[0 0 0 ... 0 0 0]
Brc1cccc(Nc2ncnc3cc4c(cc23)OCCOCCO4)c1,7.26,[0 0 0 ... 0 0 0]
Brc1cccc(Nc2ncnc3cc4c(cc23)OCCOCCOCCO4)c1,7.800000000000001,[0 0 0 ... 0 0 0]
Brc1cccc(Nc2ncnc3cc4c(cc23)OCCOCOCOCCO4)c1,7.800000000000001,[0 0 0 ... 0 0 0]
Brc1cccc(Nc2ncnc3cc4c(cc23)OCCSCCO4)c1,8.15,[0 0 0 ... 0 0 0]
Brc1cccc(Nc2ncnc3cc4c(cc23)OCO4)c1,7.82,[0 0 0 ... 0 0 0]
Brc1cccc(Nc2ncnc3cc4c(cc23)Oc2ccccc2O4)c1,6.92,[0 0 0 ... 0 0 0]
Brc1cccc(Nc2ncnc3cc4c(ccn4CCCN4CCOCC4)cc23)c1,7.11,[0 0 0 ... 0 0 0]
Brc1cccc(Nc2ncnc3cc4c(ccn4CCN4CCOCC4)cc23)c1,7.8,[0 0 0 ... 0 0 0]
Brc1cccc(Nc2ncnc3cc4c(cnn4CCCN4CCOCC4)cc23)c1,7.585000000000001,[0 0 0 ... 0 0 0]
Brc1cccc(Nc2ncnc3cc4c(cnn4CCN4CCOCC4)cc23)c1,6.72,[0 0 0 ... 0 0 0]
Brc1cccc(Nc2ncnc3cc4c[nH]nc4cc23)c1,9.47,[0 0 0 ... 0 0 0]
Brc1cccc(Nc2ncnc3cc4nccnc4cc23)c1,8.77,[0 0 0 ... 0 0 0]
